State,Population,Vehicle_Miles,Fatal crashes,Deaths
Alabama,4874747,69277,864,948
Alaska,739795,5028,75,79
Arizona,7016270,67821,919,1000
Arkansas,3004279,35746,457,493
California,39536653,353868,3304,3602
Colorado,5607154,53750,600,648
Connecticut,3588184,32126,260,278
Delaware,961939,10242,112,119
District of Columbia,693972,3550,29,31
Florida,20984400,215810,2922,3112
Georgia,10429379,122398,1440,1540
Hawaii,1427538,10513,96,107
Idaho,1716943,17676,223,244
Illinois,12802023,107369,1005,1097
Indiana,6666818,80282,836,914
Iowa,3145711,34241,301,330
Kansas,2913123,32504,407,461
Kentucky,4454189,50284,721,782
Louisiana,4684333,48094,696,760
Maine,1335907,15063,163,172
Maryland,6052177,59417,511,550
Massachusetts,6859819,60560,336,350
Michigan,9962311,103080,939,1030
Minnesota,5576606,57922,340,357
Mississippi,2984100,41387,614,690
Missouri,6113532,74005,863,930
Montana,1050493,12738,169,186
Nebraska,1920076,20828,210,228
Nevada,2998039,27803,290,309
New Hampshire,1342795,13467,98,102
New Jersey,9005644,76550,591,624
New Mexico,2088070,28171,340,379
New York,19849399,129146,933,999
North Carolina,10273419,117754,1306,1412
North Dakota,755393,9760,105,115
Ohio,11658609,117194,1094,1179
Oklahoma,3930864,49228,611,655
Oregon,4142776,37528,400,437
Pennsylvania,12805537,104022,1083,1137
Rhode Island,1059639,7997,76,83
South Carolina,5024369,54859,924,988
South Dakota,869666,9341,111,129
Tennessee,6715984,80128,959,1040
Texas,28304596,270621,3343,3722
Utah,3101833,31874,247,273
Vermont,623657,7436,63,69
Virginia,8470020,85335,783,839
Washington,7405743,61569,536,565
West Virginia,1815857,20106,280,303
Wisconsin,5795483,64160,557,613
Wyoming,579315,9492,105,123
